policy,cadence_days,mean_detection_delay,n
active_evaluation,1,0.491143,18816
active_evaluation,7,3.605355,18816
active_evaluation,14,7.000444,18816
active_evaluation,30,14.225890,18816
adaptive_recalibration,1,0.491281,18816
adaptive_recalibration,7,3.429578,18816
adaptive_recalibration,14,6.816855,18816
adaptive_recalibration,30,14.857139,18816
calendar_recalibration,1,0.502755,18816
calendar_recalibration,7,3.556486,18816
calendar_recalibration,14,6.272260,18816
calendar_recalibration,30,14.892264,18816
conservative_fallback,1,0.484553,18816
conservative_fallback,7,3.582608,18816
conservative_fallback,14,7.264899,18816
conservative_fallback,30,14.576230,18816
continual_finetuning,1,0.503168,18816
continual_finetuning,7,3.466231,18816
continual_finetuning,14,6.907079,18816
continual_finetuning,30,15.027934,18816
domain_randomized,1,0.484616,18816
domain_randomized,7,3.606427,18816
domain_randomized,14,7.120564,18816
domain_randomized,30,14.747903,18816
ensemble_gating,1,0.493692,18816
ensemble_gating,7,3.492576,18816
ensemble_gating,14,6.987367,18816
ensemble_gating,30,14.308158,18816
frozen,1,0.515827,18816
frozen,7,3.357770,18816
frozen,14,6.943707,18816
frozen,30,18.073384,18816
human_repair,1,0.469906,18816
human_repair,7,3.528845,18816
human_repair,14,6.898637,18816
human_repair,30,13.039474,18816
meta_adaptation,1,0.517773,18816
meta_adaptation,7,3.589574,18816
meta_adaptation,14,7.602967,18816
meta_adaptation,30,12.923439,18816
oracle_maintenance,1,0.000000,18816
oracle_maintenance,7,0.000000,18816
oracle_maintenance,14,0.000000,18816
oracle_maintenance,30,0.000000,18816
overfit_rapid_adaptation,1,0.488257,18816
overfit_rapid_adaptation,7,3.520198,18816
overfit_rapid_adaptation,14,6.746388,18816
overfit_rapid_adaptation,30,16.434632,18816
self_calibration,1,0.489176,18816
self_calibration,7,3.476474,18816
self_calibration,14,6.282650,18816
self_calibration,30,17.838347,18816
sentinel_rehearsal,1,0.497792,18816
sentinel_rehearsal,7,3.461918,18816
sentinel_rehearsal,14,7.080966,18816
sentinel_rehearsal,30,15.618168,18816
tactile_servo_refresh,1,0.497930,18816
tactile_servo_refresh,7,3.501119,18816
tactile_servo_refresh,14,6.591149,18816
tactile_servo_refresh,30,14.887493,18816
uncertainty_rehearsal,1,0.501066,18816
uncertainty_rehearsal,7,3.493041,18816
uncertainty_rehearsal,14,6.645570,18816
uncertainty_rehearsal,30,16.024503,18816
